REGION,LOCATION,COUNTRY CODE,WEATHER STATION ID,LATITUDE,LONGITUDE
EAST SABAH,SANDAKAN, MY,GHCND:MY000096491,5.9,118.067
EAST SABAH,TAWAU, MY,GHCND:MYM00096481,4.313,118.122
SARAWAK,KUCHING, MY,GHCND:MY000096413,1.483,110.333
SARAWAK,SIBU, MY,GHCND:MYM00096421,2.262,111.985
SARAWAK,BINTULU, MY,GHCND:MY000096441,3.2,113.033
SARAWAK,MIRI, MY,GHCND:MYM00096449,4.322,113.987
NORTH KALIMANTAN,JUWATA, ID,GHCND:IDM00096509,3.327,117.566
NORTH KALIMANTAN,TANJUNG SELOR, ID,GHCND:IDM00096525,2.85,117.333
NORTH KALIMANTAN,KALIMARU, ID,GHCND:IDM00096529,2.155,117.432
EAST KALIMANTAN,SEPINGGAN, ID,GHCND:IDM00096633,-1.268,116.894
EAST KALIMANTAN,TEMINDUNG, ID,GHCND:IDM00096607,-0.485,117.157
CENTRAL KALIMANTAN,MUARATEWE BERINGIN, ID,GHCND:IDM00096595,-0.95,114.9
CENTRAL KALIMANTAN,TJILIK RIWUT, ID,GHCND:IDM00096655,-2.225,113.943
SOUTH KALIMANTAN,SYAMSUDIN NOOR, ID,GHCND:IDM00096685,-3.442,114.763
SOUTH KALIMANTAN,KOTABARU SETAGEN, ID,GHCND:IDM00096695,-3.4,116.217
WEST KALIMANTAN,ISKANDAR, ID,GHCND:IDM00096645,-2.705,111.673
WEST KALIMANTAN,SUSILO, ID,GHCND:IDM00096559,0.064,111.473
WEST KALIMANTAN,SUPADIO, ID,GHCND:IDM00096581,-0.151,109.404
WEST KALIMANTAN,PALOH, ID,GHCND:IDM00096535,1.767,109.3
WEST KALIMANTAN,RAHADI USMAN, ID,GHCND:IDM00096615,-1.817,109.963
SUMATRA,SULTAN MAHMUD BADARUDDIN II, ID,GHCND:IDM00096221,-2.898,104.701
SUMATRA,FATMAWATI SOEKARNO, ID,GHCND:IDM00096253,-3.864,102.339
SUMATRA,KERINCI DEPATI PARB, ID,GHCND:IDM00096207,-2.767,101.367
SUMATRA,PADANG TABING, ID,GHCND:ID000096163,-0.883,100.35
SUMATRA,JAPURA, ID,GHCND:IDM00096171,-0.353,102.335
SUMATRA,SULTAN THAHA, ID,GHCND:IDM00096195,-1.638,103.644
SUMATRA,SULTAN SYARIF KASIM II, ID,GHCND:IDM00096109,0.461,101.445
SUMATRA,SIBOLGA PINANGSORI, ID,GHCND:ID000096073,1.55,98.883
SUMATRA,POLONIA, ID,GHCND:IDM00096035,3.558,98.672
SUMATRA,MEULABOH CUT NYAK, ID,GHCND:IDM00096015,4.25,96.117
SUMATRA,MALIKUS SALEH, ID,GHCND:IDM00096009,5.227,96.95
SUMATRA,H AS HANANDJOEDDIN, ID,GHCND:IDM00096249,-2.746,107.755
SUMATRA,PANGKALPINANG, ID,GHCND:IDM00096237,-2.17,106.13
WEST MALAYSIA AND SINGAPORE,SINGAPORE CHANGI INTERNATIONAL, SN,GHCND:SNM00048698,1.35,103.994
WEST MALAYSIA AND SINGAPORE,MALACCA, MY,GHCND:MYM00048665,2.263,102.252
WEST MALAYSIA AND SINGAPORE,KUANTAN, MY,GHCND:MY000048657,3.62,103.22
WEST MALAYSIA AND SINGAPORE,KUALA LUMPUR INTERNATIONAL, MY,GHCND:MYM00048650,2.746,101.71
WEST MALAYSIA AND SINGAPORE,SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY,GHCND:MYM00048647,3.131,101.549
WEST MALAYSIA AND SINGAPORE,SITIAWAN, MY,GHCND:MY000048620,4.217,100.7
WEST MALAYSIA AND SINGAPORE,PENANG INTERNATIONAL, MY,GHCND:MYM00048601,5.297,100.277
WEST MALAYSIA AND SINGAPORE,SULTAN ISMAIL PETRA, MY,GHCND:MYM00048615,6.167,102.293
